Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return.1,Return.2,Return.3,Return
2021-11-02,3446.493216762641,3465.8268182566744,3422.572936136856,3436.826416015625,3087414,0.0,0,0.2243743043257429,0.2243743043257429,0.2243743043257429,0.2243743043257429,0.22437430432574293
2021-11-03,3456.5545616805643,3472.0410460700064,3418.9233703069503,3444.76708984375,1537639,0.0,0,0.2310466944481521,0.2310466944481521,0.2310466944481521,0.2310466944481521,0.23104669444815215
2021-11-04,3465.1854300171403,3465.4813991718293,3457.3435719340387,3460.94384765625,328991,0.0,0,0.4696038190853059,0.4696038190853059,0.4696038190853059,0.4696038190853059,0.4696038190853059
2021-11-08,3499.759018304814,3499.759018304814,3433.867227631355,3455.124267578125,2526082,0.0,0,-0.1681500866321774,-0.1681500866321774,-0.1681500866321774,-0.1681500866321774,-0.16815008663217745
2021-11-09,3460.302711258388,3486.935599857013,3448.4658718812216,3458.033935546875,1782692,0.0,0,0.0842131206698836,0.0842131206698836,0.0842131206698836,0.0842131206698836,0.08421312066988365
2021-11-10,3450.43872580499,3471.843629141615,3432.880698990301,3436.925048828125,1516489,0.0,0,-0.6104302939818232,-0.6104302939818232,-0.6104302939818232,-0.6104302939818232,-0.6104302939818232
2021-11-11,3432.6835136905133,3462.324981276117,3389.281768115116,3440.77197265625,1284514,0.0,0,0.1119292324817112,0.1119292324817112,0.1119292324817112,0.1119292324817112,0.11192923248171126
2021-11-12,3458.330230197246,3486.097388854545,3438.3061935353,3478.107666015625,1747259,0.0,0,1.0850964160392218,1.0850964160392218,1.0850964160392218,1.0850964160392218,1.0850964160392218
2021-11-15,3480.030765304892,3521.065238004279,3480.030765304892,3504.98681640625,1809157,0.0,0,0.772809612918528,0.772809612918528,0.772809612918528,0.772809612918528,0.772809612918528
2021-11-16,3520.4734559189687,3526.9344458417445,3493.840566227231,3508.044677734375,2013204,0.0,0,0.0872431620516136,0.0872431620516136,0.0872431620516136,0.0872431620516136,0.08724316205161368
2021-11-17,3502.3236391272653,3514.4070795033385,3458.724420786907,3474.013671875,1632914,0.0,0,-0.970084733394943,-0.970084733394943,-0.970084733394943,-0.970084733394943,-0.970084733394943
2021-11-18,3467.355456471275,3472.978147926501,3404.669719543252,3428.44189453125,2136598,0.0,0,-1.3117903856479047,-1.3117903856479047,-1.3117903856479047,-1.3117903856479047,-1.3117903856479047
2021-11-22,3431.1052639646423,3468.1447573562727,3393.5234413956905,3411.377197265625,3167936,0.0,0,-0.4977391418779799,-0.4977391418779799,-0.4977391418779799,-0.4977391418779799,-0.4977391418779799
2021-11-23,3398.1594411471865,3433.6205923760654,3361.465285766948,3417.147705078125,2153461,0.0,0,0.1691547864342098,0.1691547864342098,0.1691547864342098,0.1691547864342098,0.1691547864342098
2021-11-24,3424.9896261899203,3445.5562321405946,3377.4450334049293,3396.482666015625,2161746,0.0,0,-0.6047452684527005,-0.6047452684527005,-0.6047452684527005,-0.6047452684527005,-0.6047452684527005
2021-11-25,3397.074312491872,3415.914712315913,3387.358384239438,3399.047119140625,1849619,0.0,0,0.0755032007276024,0.0755032007276024,0.0755032007276024,0.0755032007276024,0.07550320072760244
2021-11-26,3378.4313661604256,3442.5475818685795,3365.509386358487,3399.984375,1941251,0.0,0,0.0275740766904097,0.0275740766904097,0.0275740766904097,0.0275740766904097,0.027574076690409774
2021-11-29,3400.279961251654,3481.362503308218,3360.133396026988,3454.38427734375,2981745,0.0,0,1.600004480719121,1.600004480719121,1.600004480719121,1.600004480719121,1.600004480719121
2021-11-30,3443.534091762814,3515.294935410979,3443.534091762814,3481.165283203125,5588446,0.0,0,0.7752758149990268,0.7752758149990268,0.7752758149990268,0.7752758149990268,0.7752758149990268
2021-12-01,3486.9356987865094,3541.1878808044044,3486.9356987865094,3529.15380859375,2102118,0.0,0,1.3785190155196916,1.3785190155196916,1.3785190155196916,1.3785190155196916,1.3785190155196916
2021-12-02,3540.398840834722,3598.3994057361424,3525.5042948047526,3593.36865234375,3152938,0.0,0,1.8195535596559185,1.8195535596559185,1.8195535596559185,1.8195535596559185,1.8195535596559185
