Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return.1,Return.2,Return.3,Return
2021-10-19,63.165577332811935,63.41227987521484,60.34512942240756,60.76074981689453,87569240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-20,60.98745241583792,61.16526247316861,58.97157540271463,59.71169662475586,69757740,0.0,0.0,-1.7265310176389277,-1.7265310176389277,-1.7265310176389277,-1.7265310176389277,-1.7265310176389275
2021-10-21,60.30734543697029,60.35846710054367,57.32909648113905,58.44038391113281,83575730,0.0,0.0,-2.12908489539715,-2.12908489539715,-2.12908489539715,-2.12908489539715,-2.12908489539715
2021-10-22,58.675973713800325,58.88267153879338,56.49784976887569,57.6202507019043,80712890,0.0,0.0,-1.403367251104388,-1.403367251104388,-1.403367251104388,-1.403367251104388,-1.403367251104388
2021-10-25,57.87584632739321,58.49817133988733,56.33115752255316,57.48912048339844,64185010,0.0,0.0,-0.2275766191720607,-0.2275766191720607,-0.2275766191720607,-0.2275766191720607,-0.2275766191720607
2021-10-26,57.92029862555078,60.05397171572663,57.85139935177329,59.72725296020508,77228750,0.0,0.0,3.893140924730207,3.893140924730207,3.893140924730207,3.893140924730207,3.893140924730207
2021-10-27,59.83171470739875,60.08508470069609,58.73153749811444,58.9493522644043,72418040,0.0,0.0,-1.3024216873310397,-1.3024216873310397,-1.3024216873310397,-1.3024216873310397,-1.3024216873310395
2021-10-28,58.44927621957307,58.49594839254765,57.39132841374784,57.769168853759766,93076820,0.0,0.0,-2.0020294800714336,-2.0020294800714336,-2.0020294800714336,-2.0020294800714336,-2.0020294800714336
2021-10-29,57.35354204780733,59.284960160559216,57.34243188651482,58.49594879150391,79147600,0.0,0.0,1.2580758078482326,1.2580758078482326,1.2580758078482326,1.2580758078482326,1.2580758078482326
2021-11-01,59.565003623808536,61.027454832844406,59.12048867139205,60.67184829711914,96875330,0.0,0.0,3.7197439319614216,3.7197439319614216,3.7197439319614216,3.7197439319614216,3.7197439319614216
2021-11-02,60.89855048769696,60.89855048769696,58.267022696612365,58.39371109008789,72161370,0.0,0.0,-3.7548505130004783,-3.7548505130004783,-3.7548505130004783,-3.7548505130004783,-3.7548505130004783
2021-11-03,58.88933995743428,59.2093912710149,58.32036135168207,58.94490432739258,57302440,0.0,0.0,0.9439256848298694,0.9439256848298694,0.9439256848298694,0.9439256848298694,0.9439256848298694
2021-11-04,59.16494320451548,59.34274647335415,58.85822680042285,58.938236236572266,6744340,0.0,0.0,-0.0113124126612819,-0.0113124126612819,-0.0113124126612819,-0.0113124126612819,-0.011312412661281968
2021-11-08,59.60501136582172,59.9050603304783,58.05810115210011,59.70947265625,54936670,0.0,0.0,1.3085502195587724,1.3085502195587724,1.3085502195587724,1.3085502195587724,1.3085502195587724
2021-11-09,59.691691834842565,60.46736825400963,59.0693668336621,59.38497543334961,47565160,0.0,0.0,-0.5434602056670892,-0.5434602056670892,-0.5434602056670892,-0.5434602056670892,-0.5434602056670892
2021-11-10,59.031588220138985,59.07603564661519,57.21352365619363,57.72248840332031,118804170,0.0,0.0,-2.799507818093113,-2.799507818093113,-2.799507818093113,-2.799507818093113,-2.799507818093113
2021-11-11,58.00476124674031,58.8760067951468,57.26908950932291,57.769168853759766,136638600,0.0,0.0,0.0808704748022747,0.0808704748022747,0.0808704748022747,0.0808704748022747,0.08087047480227476
2021-11-12,59.565001727096885,59.565001727096885,56.50229407378266,57.22018814086914,232395580,0.0,0.0,-0.9503005215123428,-0.9503005215123428,-0.9503005215123428,-0.9503005215123428,-0.9503005215123429
2021-11-15,57.564686356502015,57.742489624422,55.18653203858275,55.36211395263672,121082150,0.0,0.0,-3.24723537024742,-3.24723537024742,-3.24723537024742,-3.2472353702474197,-3.2472353702474193
