Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return.1,Return.2,Return.3,Return.4,Return
2021-10-19,1624.50939249488,1636.3044274008096,1561.3863229805204,1568.7830810546875,1822638,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-20,1573.3311345267564,1606.666938164026,1538.445940748873,1589.0244140625,2768997,0.0,0,1.2902569674708833,1.2902569674708833,1.2902569674708833,1.2902569674708833,1.2902569674708833,1.2902569674708833
2021-10-21,1601.2692850387111,1626.1587294697215,1581.0278892333592,1594.372314453125,3129269,0.0,0,0.3365524370360401,0.3365524370360401,0.3365524370360401,0.3365524370360401,0.3365524370360401,0.3365524370360401
2021-10-22,1594.3722924747524,1608.1164499308989,1536.346909825244,1542.3443603515625,2580699,0.0,0,-3.2632248835434816,-3.2632248835434816,-3.2632248835434816,-3.2632248835434816,-3.2632248835434816,-3.2632248835434816
2021-10-25,1544.343437449758,1550.7407421121372,1493.4151379477055,1531.548828125,2276050,0.0,0,-0.6999430544876348,-0.6999430544876348,-0.6999430544876348,-0.6999430544876348,-0.6999430544876348,-0.6999430544876348
2021-10-26,1531.3490293795023,1556.5883002618996,1520.2537703457808,1543.1939697265625,1661783,0.0,0,0.7603506586087154,0.7603506586087154,0.7603506586087154,0.7603506586087154,0.7603506586087154,0.7603506586087154
2021-10-27,1547.3422327657263,1580.4781712625572,1539.3456320795988,1565.8843994140625,2121282,0.0,0,1.4703549996064658,1.4703549996064658,1.4703549996064658,1.4703549996064658,1.4703549996064658,1.4703549996064658
2021-10-28,1549.3414112446608,1566.2342549064367,1367.11882097283,1397.955810546875,7093354,0.0,0,-10.724200900783265,-10.724200900783265,-10.724200900783265,-10.724200900783265,-10.724200900783265,-10.724200900783265
2021-10-29,1399.405168746604,1454.181934159207,1377.1646223147384,1422.9951171875,3165141,0.0,0,1.7911372056052128,1.7911372056052128,1.7911372056052128,1.7911372056052128,1.7911372056052128,1.7911372056052128
2021-11-01,1435.3898160271312,1456.3808927239068,1410.600305215943,1444.6859130859375,1543436,0.0,0,1.524305715209241,1.524305715209241,1.524305715209241,1.524305715209241,1.524305715209241,1.524305715209241
2021-11-02,1454.3817094948786,1488.3672614693294,1452.182693174496,1472.1741943359375,1667692,0.0,0,1.902716777467799,1.902716777467799,1.902716777467799,1.902716777467799,1.902716777467799,1.902716777467799
2021-11-03,1473.3737085739133,1500.3622364785915,1463.8277174891396,1485.2686767578125,1710819,0.0,0,0.8894655586448184,0.8894655586448184,0.8894655586448184,0.8894655586448184,0.8894655586448184,0.8894655586448184
2021-11-04,1494.3647069632163,1510.857695367827,1482.3698063053175,1488.8170166015625,272261,0.0,0,0.2389022201353938,0.2389022201353938,0.2389022201353938,0.2389022201353938,0.2389022201353938,0.2389022201353938
2021-11-08,1494.3647436029162,1574.4807106151488,1485.0187410148403,1567.5836181640625,2565017,0.0,0,5.290549522485713,5.290549522485713,5.290549522485713,5.290549522485713,5.290549522485713,5.290549522485713
2021-11-09,1554.3392390401689,1658.2950466672926,1554.2892114791252,1634.7550048828125,4713708,0.0,0,4.285027346574368,4.285027346574368,4.285027346574368,4.285027346574368,4.285027346574368,4.285027346574368
2021-11-10,1624.8593107657668,1685.283575197223,1619.711474729655,1655.1463623046875,3728328,0.0,0,1.247364734224304,1.247364734224304,1.247364734224304,1.247364734224304,1.247364734224304,1.247364734224304
2021-11-11,1649.2989333933383,1703.2759893953023,1640.1527967226498,1664.192626953125,4470709,0.0,0,0.5465537582936861,0.5465537582936861,0.5465537582936861,0.5465537582936861,0.5465537582936861,0.5465537582936861
2021-11-12,1677.5868703245671,1718.7693139479295,1669.3902816297154,1704.475341796875,5349189,0.0,0,2.420556021660865,2.420556021660865,2.420556021660865,2.420556021660865,2.420556021660865,2.420556021660865
2021-11-15,1713.0218037366471,1763.250451811201,1691.0811794049905,1748.806640625,3997553,0.0,0,2.600876512615929,2.600876512615929,2.600876512615929,2.600876512615929,2.600876512615929,2.6008765126159292
2021-11-16,1758.7023237863684,1765.7994044614056,1706.1747266005475,1710.8726806640625,2172117,0.0,0,-2.1691340300137707,-2.1691340300137707,-2.1691340300137707,-2.1691340300137707,-2.1691340300137707,-2.1691340300137707
2021-11-17,1713.271694208225,1728.964974221775,1681.785079057957,1705.724853515625,1476385,0.0,0,-0.3008889677541294,-0.3008889677541294,-0.3008889677541294,-0.3008889677541294,-0.3008889677541294,-0.3008889677541294
