Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return.1,Return.2,Return.3,Return
2021-10-19,5303.400174224269,5349.05069967605,5128.489193553043,5152.654296875,388226,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-20,5142.730350912393,5251.795315443112,5050.536233011027,5077.529296875,623004,0.0,0,-1.4579864215917235,-1.4579864215917235,-1.4579864215917235,-1.4579864215917235,-1.4579864215917235
2021-10-21,5128.290574438817,5179.349889132754,5014.263596767718,5154.1923828125,435607,0.0,0,1.5098501939650613,1.5098501939650613,1.5098501939650613,1.5098501939650613,1.5098501939650613
2021-10-22,5199.197947455531,5199.197947455531,5011.633829862652,5034.85595703125,372979,0.0,0,-2.3153273474850664,-2.3153273474850664,-2.3153273474850664,-2.3153273474850664,-2.3153273474850664
2021-10-25,5013.6186082751,5031.48185747323,4837.814560997836,4957.99462890625,588823,0.0,0,-1.526584450100544,-1.526584450100544,-1.526584450100544,-1.526584450100544,-1.526584450100544
2021-10-26,4957.051690937391,5035.451507470735,4934.325765084461,4980.77001953125,334367,0.0,0,0.4593669886654219,0.4593669886654219,0.4593669886654219,0.4593669886654219,0.4593669886654219
2021-10-27,4969.804020104536,5187.288977608199,4962.212236269159,5110.22900390625,624281,0.0,0,2.599176108660878,2.599176108660878,2.599176108660878,2.599176108660878,2.599176108660878
2021-10-28,5122.683575471032,5170.715770879966,5063.834287176354,5082.2431640625,410588,0.0,0,-0.5476435561372626,-0.5476435561372626,-0.5476435561372626,-0.5476435561372626,-0.5476435561372626
2021-10-29,5075.544550745063,5208.477093540168,5046.665533674528,5111.02294921875,442907,0.0,0,0.5662811523808481,0.5662811523808481,0.5662811523808481,0.5662811523808481,0.5662811523808481
2021-11-01,5136.279501630001,5244.897686203146,5111.866298340374,5188.47998046875,307144,0.0,0,1.5154897956746558,1.5154897956746558,1.5154897956746558,1.5154897956746558,1.5154897956746558
2021-11-02,5190.266231196401,5236.760395592862,5152.356253422869,5165.85302734375,314359,0.0,0,-0.4360998444665056,-0.4360998444665056,-0.4360998444665056,-0.4360998444665056,-0.4360998444665056
2021-11-03,5144.615588047793,5171.757898760944,5055.348771506005,5101.0986328125,674471,0.0,0,-1.2535082625946543,-1.2535082625946543,-1.2535082625946543,-1.2535082625946543,-1.2535082625946545
2021-11-04,5134.69179059685,5185.30433047324,5130.821516814751,5168.48291015625,36424,0.0,0,1.3209757778511635,1.3209757778511635,1.3209757778511635,1.3209757778511635,1.3209757778511637
2021-11-08,4985.037477745737,5001.709649415134,4711.729384245388,4859.49853515625,2670018,0.0,0,-5.978241204838558,-5.978241204838558,-5.978241204838558,-5.978241204838558,-5.978241204838558
2021-11-09,4930.256913677379,5054.555359417735,4878.106342446915,4913.68359375,1441073,0.0,0,1.115033952613544,1.115033952613544,1.115033952613544,1.115033952613544,1.115033952613544
2021-11-10,4890.560452020588,4909.267339624968,4829.031485294679,4868.4794921875,454790,0.0,0,-0.9199636219962908,-0.9199636219962908,-0.9199636219962908,-0.9199636219962908,-0.9199636219962907
2021-11-11,4862.773152608235,4862.773152608235,4778.418924450745,4796.5302734375,341815,0.0,0,-1.477858104680479,-1.477858104680479,-1.477858104680479,-1.477858104680479,-1.477858104680479
2021-11-12,4858.2579870650525,4858.2579870650525,4773.456982599574,4807.0,356046,0.0,0,0.2182770870952249,0.2182770870952249,0.2182770870952249,0.2182770870952249,0.2182770870952249
2021-11-15,4831.016562451777,4889.568324404253,4815.931846899766,4870.365234375,292784,0.0,0,1.3181866938839193,1.3181866938839193,1.3181866938839193,1.3181866938839193,1.3181866938839193
2021-11-16,4877.659229482422,4877.659229482422,4805.213832991636,4815.7333984375,268910,0.0,0,-1.1217194873170686,-1.1217194873170686,-1.1217194873170686,-1.1217194873170686,-1.1217194873170686
2021-11-17,4808.191097299045,4809.630275047426,4720.859659412086,4727.65771484375,372272,0.0,0,-1.8289152722267967,-1.8289152722267967,-1.8289152722267967,-1.8289152722267972,-1.8289152722267974
2021-11-18,4687.862469057717,4772.762330106619,4636.306952600308,4749.24267578125,631764,0.0,0,0.4565677601770581,0.4565677601770581,0.4565677601770581,0.4565677601770581,0.45656776017705814
2021-11-22,4763.533039427839,4801.541869642951,4630.99785046158,4643.60107421875,456467,0.0,0,-2.224388366196132,-2.224388366196132,-2.224388366196132,-2.224388366196132,-2.224388366196132
2021-11-23,4643.601222064253,4788.343259795405,4599.786737648021,4727.11181640625,507851,0.0,0,1.7984047477969465,1.7984047477969465,1.7984047477969465,1.7984047477969465,1.7984047477969463
2021-11-24,4752.517392129139,4752.517392129139,4619.138560578175,4647.12451171875,322715,0.0,0,-1.6920967346253664,-1.6920967346253664,-1.6920967346253664,-1.6920967346253664,-1.6920967346253664
2021-11-25,4641.46761013999,4779.362164547857,4620.230288440465,4763.33447265625,311013,0.0,0,2.500685330131589,2.500685330131589,2.500685330131589,2.500685330131589,2.5006853301315886
2021-11-26,4733.761144250142,5039.123665979386,4720.611807738336,4900.2861328125,1570555,0.0,0,2.875121638894268,2.875121638894268,2.875121638894268,2.875121638894268,2.8751216388942678
2021-11-29,4927.825337083611,4952.08977842379,4773.556618596952,4883.96142578125,551230,0.0,0,-0.3331378329510015,-0.3331378329510015,-0.3331378329510015,-0.3331378329510015,-0.3331378329510015
2021-11-30,4892.545589965835,4912.096118099229,4803.378105372308,4841.734375,864073,0.0,0,-0.8646065580768845,-0.8646065580768845,-0.8646065580768845,-0.8646065580768845,-0.8646065580768845
2021-12-01,4843.272998888399,4939.982358948592,4689.1031302729225,4716.0966796875,603122,0.0,0,-2.594890293057434,-2.594890293057434,-2.594890293057434,-2.594890293057434,-2.594890293057434
2021-12-02,4739.715441372621,4788.243837984909,4717.981918486687,4741.00537109375,289153,0.0,0,0.5281632904926052,0.5281632904926052,0.5281632904926052,0.5281632904926052,0.5281632904926052
2021-12-03,4760.853389288834,4760.90330016797,4677.789572115505,4720.9091796875,300986,0.0,0,-0.4238803762758406,-0.4238803762758406,-0.4238803762758406,-0.4238803762758406,-0.4238803762758406
2021-12-06,4738.722799503103,4738.722799503103,4599.786424229713,4611.49658203125,406673,0.0,0,-2.317617083739208,-2.317617083739208,-2.317617083739208,-2.317617083739208,-2.317617083739208
2021-12-07,4616.756948425007,4631.246125546569,4565.30076871993,4589.6640625,404320,0.0,0,-0.4734367497163647,-0.4734367497163647,-0.4734367497163647,-0.4734367497163647,-0.4734367497163647
2021-12-08,4614.672883015454,4615.665285785995,4550.166702930292,4569.96533203125,637075,0.0,0,-0.4291976536953787,-0.4291976536953787,-0.4291976536953787,-0.4291976536953787,-0.4291976536953787
2021-12-09,4604.748530819663,4604.748530819663,4481.541832453545,4542.177734375,710302,0.0,0,-0.6080483250383656,-0.6080483250383656,-0.6080483250383656,-0.6080483250383656,-0.6080483250383656
2021-12-10,4515.4323230265645,4533.04747109991,4455.888160525115,4472.21337890625,784691,0.0,0,-1.5403262390915011,-1.5403262390915011,-1.5403262390915011,-1.5403262390915011,-1.5403262390915013
2021-12-13,4506.50101166609,4555.922476146378,4455.888470024387,4495.9814453125,531695,0.0,0,0.5314609208575565,0.5314609208575565,0.5314609208575565,0.5314609208575565,0.5314609208575565
2021-12-14,4485.660235594869,4626.581419987451,4466.804584162059,4619.0390625,883708,0.0,0,2.7370579412822,2.7370579412822,2.7370579412822,2.7370579412822,2.7370579412822
2021-12-15,4618.493316698446,4618.493316698446,4500.546161075451,4553.83837890625,1210492,0.0,0,-1.4115638060540867,-1.4115638060540867,-1.4115638060540867,-1.4115638060540867,-1.4115638060540867
2021-12-16,4582.915770440068,4602.1682863335645,4537.265245225637,4566.49169921875,835422,0.0,0,0.2778605488308766,0.2778605488308766,0.2778605488308766,0.2778605488308766,0.2778605488308766
2021-12-17,4572.991578503049,4589.86242417027,4467.945657243119,4477.17529296875,424694,0.0,0,-1.955908652265382,-1.955908652265382,-1.955908652265382,-1.955908652265382,-1.9559086522653821
2021-12-20,4455.888256595277,4463.827478433309,4322.906290808246,4374.9580078125,404674,0.0,0,-2.283075342544187,-2.283075342544187,-2.283075342544187,-2.283075342544187,-2.283075342544187
2021-12-21,4414.455547229187,4414.455547229187,4327.868407006459,4372.22900390625,825709,0.0,0,-0.0623778308586444,-0.0623778308586444,-0.0623778308586444,-0.0623778308586444,-0.0623778308586444
2021-12-22,4396.344307240879,4549.174335077244,4351.68618222376,4528.830078125,843170,0.0,0,3.581721681980496,3.581721681980496,3.581721681980496,3.581721681980496,3.5817216819804956
2021-12-23,4525.306981390498,4535.280434907754,4437.081991837496,4444.4755859375,703933,0.0,0,-1.8626111099850309,-1.8626111099850309,-1.8626111099850309,-1.8626111099850309,-1.8626111099850309
2021-12-24,4480.698173291782,4480.698173291782,4406.267971077633,4413.462890625,295431,0.0,0,-0.6977807552959773,-0.6977807552959773,-0.6977807552959773,-0.6977807552959773,-0.6977807552959773
2021-12-27,4416.192370272873,4456.880884246173,4398.180356733173,4439.21630859375,242523,0.0,0,0.5835195311929541,0.5835195311929541,0.5835195311929541,0.5835195311929541,0.5835195311929541
2021-12-28,4461.395834890635,4501.141854398777,4442.193229998487,4490.9697265625,403732,0.0,0,1.1658232978771963,1.1658232978771963,1.1658232978771963,1.1658232978771963,1.1658232978771965
2021-12-29,4495.38590389076,4590.656570450225,4482.931442872331,4586.48876953125,701459,0.0,0,2.126913535038738,2.126913535038738,2.126913535038738,2.126913535038738,2.126913535038738
2021-12-30,4606.932373134739,4622.016604628059,4574.976809831758,4592.74072265625,434083,0.0,0,0.1363124045246264,0.1363124045246264,0.1363124045246264,0.1363124045246264,0.13631240452462645
2021-12-31,4613.680337573899,4654.368849907848,4594.824685516704,4642.65869140625,293933,0.0,0,1.0868884564667851,1.0868884564667851,1.0868884564667851,1.0868884564667851,1.0868884564667853
2022-01-03,4653.3762880862,4672.976241528235,4606.733360907686,4615.9130859375,203444,0.0,0,-0.5760838184865323,-0.5760838184865323,-0.5760838184865323,-0.5760838184865323,-0.5760838184865323
2022-01-04,4616.756836699747,4644.395349641896,4573.9841821265645,4586.587890625,259508,0.0,0,-0.6353064879371315,-0.6353064879371315,-0.6353064879371315,-0.6353064879371315,-0.6353064879371315
2022-01-05,4584.801215594871,4595.023254323491,4507.493140850836,4523.818359375,510511,0.0,0,-1.3685452616813714,-1.3685452616813714,-1.3685452616813714,-1.3685452616813714,-1.3685452616813714
2022-01-06,4500.546193790388,4522.379052944388,4436.040019017208,4455.04443359375,447726,0.0,0,-1.5202627585328523,-1.5202627585328523,-1.5202627585328523,-1.5202627585328523,-1.5202627585328523
2022-01-07,4465.812422258455,4515.233885902784,4436.536540823649,4482.3857421875,269479,0.0,0,0.6137157328348932,0.6137157328348932,0.6137157328348932,0.6137157328348932,0.6137157328348932
2022-01-10,4485.660493958097,4500.099760347815,4428.29980801889,4431.8720703125,361423,0.0,0,-1.1269371888182975,-1.1269371888182975,-1.1269371888182975,-1.1269371888182975,-1.1269371888182977
2022-01-11,4441.002188781839,4505.359602331364,4400.561777789021,4482.236328125,476123,0.0,0,1.1364104607141496,1.1364104607141496,1.1364104607141496,1.1364104607141496,1.1364104607141496
2022-01-12,4496.626180385476,4503.523573163778,4433.112405885149,4458.76611328125,496883,0.0,0,-0.5236273396937999,-0.5236273396937999,-0.5236273396937999,-0.5236273396937999,-0.5236273396937999
2022-01-13,4458.8652479644,4584.056749320876,4432.070375563991,4555.177734375,646137,0.0,0,2.162293752223745,2.162293752223745,2.162293752223745,2.162293752223745,2.1622937522237455
